customer_id,snapshot_month,priority_rank,recommended_product_id,recommended_product,p_conversion,p_responsible,expected_credit_value,responsible_nba_score,eligible_for_responsible_offer,governance_exclusion_reason,reason_codes,recommended_action,region,customer_segment,income_band,annual_income,engagement_score,utilisation_ratio,arrears_last_6m
C000418,2025-06-30,1,P002,Payroll-linked Credit,0.7553703401153465,0.7216120064228512,1190.0,648.6503250003066,True,Eligible,High recent engagement | Stable income signal | Positive balance momentum,Priority adviser call with affordability review,South East,Digital-first,Upper-middle,65676.0,0.7704304155265446,0.0901594116840999,0
C000528,2025-06-30,2,P002,Payroll-linked Credit,0.7475074122172788,0.7213479726248928,1190.0,641.6634180267667,True,Eligible,High recent engagement | Stable income signal | Controlled credit utilisation,Priority adviser call with affordability review,South East,Digital-first,High,91472.0,0.7641496372687024,0.0229210166712216,0
C001114,2025-06-30,3,P002,Payroll-linked Credit,0.7284815717946935,0.7060519405529432,1190.0,612.0715346330148,True,Eligible,High recent engagement | Stable income signal | Positive balance momentum,Priority adviser call with affordability review,London,Digital-first,High,80946.0,0.8545288723921102,0.1629737241967164,0
C000707,2025-06-30,4,P002,Payroll-linked Credit,0.7097923739959483,0.6950219179211413,1190.0,587.0522959495522,True,Eligible,Stable income signal | Controlled credit utilisation,Priority adviser call with affordability review,South West,Digital-first,Upper-middle,56478.0,0.5869404005740126,0.0378785786370637,0
C000459,2025-06-30,5,P002,Payroll-linked Credit,0.6984833757017298,0.6917019859949188,1190.0,574.9393824072126,True,Eligible,High recent engagement | Stable income signal | Positive balance momentum,Priority adviser call with affordability review,South East,High-value,Upper-middle,70080.0,0.7271751250881782,0.1509806943195925,0
C001014,2025-06-30,6,P002,Payroll-linked Credit,0.6437220749780936,0.7342017074185715,1190.0,562.419997396811,True,Eligible,Stable income signal | Positive balance momentum | Controlled credit utilisation,Priority adviser call with affordability review,London,High-value,High,87339.0,0.4700865368265022,0.1080576355018204,0
C000668,2025-06-30,7,P002,Payroll-linked Credit,0.6396462985665433,0.7303713223028414,1190.0,555.9433823392956,True,Eligible,Stable income signal | Positive balance momentum | Controlled credit utilisation,Priority adviser call with affordability review,South East,High-value,High,117732.0,0.2729218292696124,0.0491514842655115,0
C000711,2025-06-30,8,P002,Payroll-linked Credit,0.6708234888301947,0.6950412513356574,1190.0,554.837496551249,True,Eligible,Stable income signal | Controlled credit utilisation | Established product relationship,Priority adviser call with affordability review,London,High-value,High,78978.0,0.5624797476010918,0.0781403122269912,0
C000397,2025-06-30,9,P002,Payroll-linked Credit,0.6979989569500784,0.6672250228922741,1190.0,554.2096203354614,True,Eligible,Stable income signal | Positive balance momentum | Controlled credit utilisation,Priority adviser call with affordability review,London,High-value,Upper-middle,59487.0,0.5537892493222263,0.0494014120020171,0
C000625,2025-06-30,10,P002,Payroll-linked Credit,0.6538406521849021,0.7058004669476415,1190.0,549.1624347695307,True,Eligible,Stable income signal | Controlled credit utilisation,Priority adviser call with affordability review,Midlands,High-value,High,77828.0,0.4240481260775539,0.070984569130552,0
C000688,2025-06-30,11,P002,Payroll-linked Credit,0.616613621041823,0.7451940621737345,1190.0,546.8012027764161,True,Eligible,Stable income signal | Controlled credit utilisation | Established product relationship,Targeted credit-growth conversation,North West,High-value,High,96096.0,0.2775687019349077,0.0335257390815721,0
C000430,2025-06-30,12,P002,Payroll-linked Credit,0.6452632092333406,0.7069511984576778,1190.0,542.8418229149074,True,Eligible,Stable income signal | Positive balance momentum | Controlled credit utilisation,Targeted credit-growth conversation,Scotland,High-value,Upper-middle,63337.0,0.6072019001546257,0.0334911588253868,0
