customer_id,snapshot_month,savings_balance,credit_balance,number_of_products,recent_balance_growth,recent_credit_enquiry_flag,salary_inflow_flag,engagement_score,utilisation_ratio,arrears_last_6m
C000001,2024-01-31,2198.82,442.59,2,0.14034849511766995,0,1,0.3315778128841836,0.03080529905804835,0
C000002,2024-01-31,1860.46,488.53,1,-0.051588822297941594,0,0,0.3077593048282223,0.05101785776447245,0
C000003,2024-01-31,1570.81,4451.82,2,0.009148419633151578,0,0,0.32763698500494753,0.2748093582172473,0
C000004,2024-01-31,1067.22,479.1,1,0.12236674566955931,0,1,0.2588426826111757,0.03644177378869704,0
C000005,2024-01-31,294.43,1092.33,4,0.27842807100325706,0,0,0.4277859542753546,0.16597396677471637,0
C000006,2024-01-31,9896.51,1257.81,5,-0.11858633413430644,0,1,0.4518210219892951,0.02902102688734387,0
C000007,2024-01-31,2309.57,1161.79,3,-0.004763375340937008,0,1,0.4398501656937429,0.06792901830088288,0
C000008,2024-01-31,3022.36,2205.27,2,0.08304137916146435,0,0,0.5303064271572152,0.10933054600740348,0
C000009,2024-01-31,461.37,265.02,1,0.18750041397395215,1,1,0.4644387803495058,0.049944091965575726,0
C000010,2024-01-31,3165.96,495.49,1,-0.0307166096040562,0,1,0.045265306263951685,0.04111154133362834,0
C000011,2024-01-31,1858.14,746.19,1,0.28025544529910906,0,1,0.13976862769861342,0.09026491935483873,0
C000012,2024-01-31,2927.31,710.57,2,0.03278908258268584,1,1,0.2930801624647281,0.030375758784804356,0
C000013,2024-01-31,1272.17,1933.39,2,-0.0578604251039604,0,1,0.31907271226113154,0.14978617359192212,0
C000014,2024-01-31,3090.86,1196.27,5,0.30827156350057044,1,1,0.3811243766558211,0.042563807581004795,0
C000015,2024-01-31,1287.81,1428.27,2,0.521085172034462,0,1,0.3907268051859012,0.09564735032813965,0
C000016,2024-01-31,1062.52,333.37,2,-0.2945526629129406,0,1,0.5692270001067165,0.04259775108612318,0
C000017,2024-01-31,1256.6,796.86,1,0.28452258792585045,0,0,0.1771695043340175,0.06046131667467564,0
C000018,2024-01-31,965.83,311.47,1,0.04892885230777089,0,1,0.20424914932061206,0.059539314387664084,0
C000019,2024-01-31,2559.93,3222.42,1,0.17855552225712895,0,1,0.3041373775087268,0.13822219044895626,0
C000020,2024-01-31,1137.67,1061.0,1,0.1942720781456778,0,1,0.3907743143882154,0.10271055179090029,0
C000021,2024-01-31,5059.26,452.22,2,0.06024352194774019,0,1,0.4052503879736298,0.02785692285579352,0
C000022,2024-01-31,758.61,189.08,2,0.5012221076545608,0,1,0.2221897867634866,0.022373683587741097,0
C000023,2024-01-31,1984.41,958.02,1,0.030003018437180663,0,1,0.3355545184111353,0.027272261443862446,0
C000024,2024-01-31,4049.96,870.69,2,0.07879055060775961,0,1,0.26130436361293236,0.03518650232370176,0
C000025,2024-01-31,1076.78,3652.59,1,0.13739843443848032,0,1,0.3771605293837116,0.14475640043330074,0
C000026,2024-01-31,1566.88,752.1,1,0.48114099292038737,0,1,0.3547895452050779,0.07427659084175528,0
C000027,2024-01-31,3171.99,2066.42,3,0.14006637331340474,0,1,0.2575584404605458,0.1495743859479805,1
C000028,2024-01-31,940.57,245.74,2,0.07979167163686106,0,1,0.5131487920981654,0.03633057362507392,0
C000029,2024-01-31,659.23,260.55,1,-0.2586772473757194,0,0,0.12179551936538291,0.05314816073978378,0
C000030,2024-01-31,427.49,464.09,1,0.0344668473841775,0,1,0.2571463930224083,0.04702502786503192,0
C000031,2024-01-31,2720.2,307.88,1,0.21644694466242967,0,1,0.0511440043663174,0.020554109086053807,0
C000032,2024-01-31,4421.59,4299.94,4,0.18534843532539197,0,1,0.34004872184541435,0.16182018891829847,0
C000033,2024-01-31,648.68,267.61,1,0.1787760319562004,0,0,0.48554393669829643,0.02897257307831108,0
C000034,2024-01-31,3645.54,245.11,1,-0.40353673111634936,0,1,0.08433457309761615,0.025765794176390203,0
C000035,2024-01-31,993.5,1188.9,1,0.11870773348312043,0,0,0.2949659566400977,0.08167391802152509,0
C000036,2024-01-31,570.34,1521.39,4,-0.17990288131042342,0,1,0.10864631653738384,0.14172680412371136,0
C000037,2024-01-31,336.0,813.37,1,-0.11165793337463276,0,1,0.5702600652785716,0.11961909897543997,0
C000038,2024-01-31,1959.64,1385.99,2,0.0028641566341593948,0,1,0.05685541787735185,0.09599819915498811,0
C000039,2024-01-31,1397.64,1776.19,1,0.07858176007177997,0,1,0.46366681355910955,0.20476386273680974,0
C000040,2024-01-31,2428.78,594.24,3,0.006162577309382335,0,1,0.3372123407009978,0.04172350036276827,0
C000041,2024-01-31,938.47,156.39,2,0.09861616604234735,0,1,0.14077434424421892,0.018520843202273804,0
C000042,2024-01-31,1713.12,1975.33,1,0.10364851470019278,0,0,0.2844248101336788,0.09867769007892896,0
C000043,2024-01-31,4225.63,996.19,1,0.08915963397582133,0,1,0.38842602597527587,0.05014631608973606,0
C000044,2024-01-31,784.55,1005.91,1,-0.19053467875445837,1,1,0.673136284034662,0.10471321003504631,0
C000045,2024-01-31,1524.05,6076.74,3,0.13597721443894234,0,1,0.17810828945820184,0.27426650017301296,0
C000046,2024-01-31,5302.54,2681.2,1,0.3310569849531653,0,0,0.5937985763015479,0.14623397872920643,0
C000047,2024-01-31,1601.83,917.17,2,0.03178116478758258,0,1,0.11647232885836624,0.08447210880176834,0
C000048,2024-01-31,1815.39,452.19,1,-0.1256356198992874,0,0,0.3684600867636092,0.0431904868031456,0
C000049,2024-01-31,2967.7,2370.71,2,0.01858360639821309,0,1,0.386676955727148,0.15080852417302798,0
C000050,2024-01-31,606.4,911.39,1,0.10518784486983965,1,1,0.3814214643082548,0.1468247234453872,0
C000051,2024-01-31,1085.83,1320.82,2,0.3600474803988293,0,1,0.4918389813076791,0.12141377619806348,0
C000052,2024-01-31,1374.34,581.42,2,-0.24224969445775277,0,1,0.3114894752186159,0.08051050080775443,0
C000053,2024-01-31,2058.73,728.94,3,-0.07693277436293852,0,1,0.34319201235693986,0.03374149449939053,0
